"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","X_COORD_CD","Y_COORD_CD","Latitude","Longitude"
"23613985","07/30/2006","01:08:00","BROOKLYN","OUTSIDE","75","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1016132","178622","-73.88509476","40.65690364"
"23613987","07/30/2006","01:10:00","BROOKLYN","OUTSIDE","88","0","STREET",,"995152","188862","-73.96069271","40.68506083"
"23749369","08/05/2006","01:50:00","STATEN ISLAND","INSIDE","122","0","DWELLING","PVT HOUSE","938820","154147","-74.16357198","40.58966584"
"23822599","08/11/2006","23:29:00","BRONX","OUTSIDE","46","0","STREET",,"1026269","241738","-73.84816554","40.8300987"
"23920281","08/16/2006","21:29:00","BRONX","OUTSIDE","47","0","STREET",,"1022013","259442","-73.86344487","40.87871008"
"23920284","08/17/2006","23:55:00","BRONX","OUTSIDE","44","0","STREET",,"1009143","242912","-73.91004603","40.83338587"
"23934580","08/18/2006","22:32:00","BRONX","INSIDE","48","0","DWELLING","MULTI DWELL - APT BUILD","1013907","249733","-73.89280029","40.85209279"
"24050466","08/25/2006","19:19:00","QUEENS","OUTSIDE","104","0","STREET",,"1009871","203034","-73.90756733","40.72392926"
"24050468","08/25/2006","21:37:00","QUEENS","OUTSIDE","106","0","STREET",,"1031901","189141","-73.8281871","40.68570507"
"24050478","08/27/2006","15:28:00","BROOKLYN","INSIDE","69","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1015077","169958","-73.8889367","40.63312658"
"24050479","08/27/2006","17:23:00","BROOKLYN","OUTSIDE","81","0","STREET",,"1006266","189183","-73.92061854","40.68592124"
"24050489","08/25/2006","23:50:00","BROOKLYN","OUTSIDE","83","0","STREET","PVT HOUSE","1009149","190104","-73.91021993","40.68844153"
"24103846","08/31/2006","20:00:00","BROOKLYN","OUTSIDE","79","0","STREET",,"999003","193546","-73.94679711","40.69791175"
"24157447","09/04/2006","03:12:00","BROOKLYN","OUTSIDE","71","0","STREET",,"995311","178555","-73.96013632","40.65677022"
"24157449","09/04/2006","02:55:00","BROOKLYN","OUTSIDE","71","0","STREET",,"997551","182704","-73.95205492","40.66815523"
"24248675","09/10/2006","02:00:00","QUEENS","INSIDE","105","0","VEHICLE",,"1056437","196519","-73.73963945","40.70578979"
"24248677","09/10/2006","03:41:00","BRONX","INSIDE","43","0","DWELLING","PVT HOUSE","1022643","237444","-73.86129266","40.81832941"
"24248679","09/10/2006","14:20:00","BROOKLYN","INSIDE","75","2","HOUSING","MULTI DWELL - APT BUILD","1013210","182270","-73.89561034","40.66692663"
"24335998","09/16/2006","02:15:00","BROOKLYN","OUTSIDE","83","0","STREET",,"1009949","192048","-73.90732785","40.69377507"
"24360982","09/17/2006","07:15:00","BRONX","OUTSIDE","43","0","STREET",,"1018623","240382","-73.87580131","40.82640994"
"24360985","09/17/2006","13:25:00","QUEENS","OUTSIDE","113","0","STREET",,"1044709","188030","-73.78201566","40.68257742"
"24360986","09/17/2006","16:41:00","BROOKLYN","OUTSIDE","77","0","STREET","MULTI DWELL - APT BUILD","1002647","183812","-73.93368219","40.67118732"
"24378757","09/18/2006","03:30:00","BROOKLYN","INSIDE","69","0","STREET",,"1009296","170104","-73.90976416","40.63354555"
"24378766","09/18/2006","15:10:00","BROOKLYN","OUTSIDE","73","0","STREET",,"1007726","187221","-73.91536106","40.68053224"
"24418566","09/20/2006","21:19:00","BROOKLYN","OUTSIDE","77","0","STREET",,"1003811","183892","-73.92948586","40.67140441"
"138924200","09/29/2014","16:53:00","STATEN ISLAND","OUTSIDE","120","0","STREET",,"960345","172217","-74.08613535","40.63934843"
"24591357","10/01/2006","05:40:00","BRONX","OUTSIDE","47","0","STREET","GROCERY/BODEGA","1021316","259277","-73.86596623","40.87826016"
"24687025","10/07/2006","00:45:00","BROOKLYN","OUTSIDE","71","0","STREET",,"996099","181303","-73.95729145","40.66431186"
"24699536","10/08/2006","02:40:00","QUEENS","OUTSIDE","102","0","STREET",,"1022215","187520","-73.8631208","40.68130265"
"24717011","10/09/2006","15:45:00","BROOKLYN","OUTSIDE","90","2","HOUSING","MULTI DWELL - PUBLIC HOUS","999889","195910","-73.94359641","40.70439886"
"24814496","10/14/2006","22:30:00","BROOKLYN","OUTSIDE","75","0","STREET",,"1020679","183428","-73.86868087","40.67007749"
"24913681","10/22/2006","19:57:00","BRONX","OUTSIDE","50","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1009400","258135","-73.90906021","40.87516772"
"25078537","10/31/2006","21:45:00","BROOKLYN","OUTSIDE","71","0","STREET","MULTI DWELL - APT BUILD","1002859","181349","-73.93292475","40.66442649"
"25078539","11/01/2006","00:04:00","BRONX","OUTSIDE","45","0","STREET",,"1033584","253992","-73.82164265","40.86369443"
"25170414","11/04/2006","05:19:00","BROOKLYN","INSIDE","70","0","COMMERCIAL","BEAUTY/NAIL SALON","995970","173669","-73.9577697","40.64335837"
"25207006","11/08/2006","21:32:00","MANHATTAN","INSIDE","33","0","COMMERCIAL","SOCIAL CLUB/POLICY LOCATI","1002252","247207","-73.93493638","40.84519113"
"25327783","11/15/2006","18:00:00","BROOKLYN","OUTSIDE","73","0","STREET",,"1009045","181745","-73.91062569","40.66549826"
"25344915","11/17/2006","22:23:00","BROOKLYN","OUTSIDE","83","0","STREET",,"1004833","195416","-73.92576644","40.70303282"
"25370563","11/20/2006","00:31:00","QUEENS","OUTSIDE","106","0","STREET",,"1034983","190348","-73.81706533","40.68900088"
"25466214","11/25/2006","16:10:00","BROOKLYN","INSIDE","69","0","DWELLING","PVT HOUSE","1012016","169344","-73.89996751","40.6314514"
"25476051","11/25/2006","23:51:00","BROOKLYN","OUTSIDE","75","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1014380","184565","-73.89138262","40.67322198"
"25490111","11/26/2006","04:57:00","BRONX","OUTSIDE","46","0","STREET",,"1006013","247941","-73.92134053","40.84719727"
